X,Y,FID,ID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCE_DAT,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,DATE_CREAT
-88.454440226999949,44.187135058000074,6001,0014954956,CHILDRENS HSPTL OF WISCONSIN FOX VALLEY,130 SECOND ST,Not Available,Neenah,WI,54956,Not Available,(920) 969-7902,General Acute Care Hospital,Open,42,Winnebago,55139,US,44.1871,-88.4544,622210,"Children'S Hospitals, General",http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-03-12T00:00:00.000Z,http://www.chw.org,1005,Not Available,55,Non-profit,0,42,Not Available,Y,2013-10-24T00:00:00.000Z
-88.453384928999981,44.18748955600006,6002,0015054956,THEDA CLARK MED CTR,130 2ND ST,Not Available,Neenah,WI,54956,Not Available,(920) 729-3100,General Acute Care Hospital,Open,147,Winnebago,55139,US,44.1875,-88.4534,622210,General Medical And Surgical Hospitals,http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-03-12T00:00:00.000Z,http://www.thedacare.org,32,Not Available,55,Non-profit,0,147,II,Y,2013-10-24T00:00:00.000Z
-88.595218367999976,44.027746777000054,6003,0015154904,AURORA MED CTR OSHKOSH,855 N WESTHAVEN DRIVE,Not Available,Oshkosh,WI,54904,Not Available,(920) 456-6000,General Acute Care Hospital,Open,61,Winnebago,55139,US,44.0277,-88.5952,622210,General Medical And Surgical Hospitals,http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-02-10T00:00:00.000Z,http://www.aurorahealthcare.com,307,Not Available,55,Non-profit,0,61,Not Available,Not Available,2013-10-24T00:00:00.000Z
-88.601045492999958,44.012420717000055,6004,0015254904,MERCY MED CTR OF OSHKOSH,500 S OAKWOOD RD,Not Available,Oshkosh,WI,54904,Not Available,(920) 223-2000,General Acute Care Hospital,Open,157,Winnebago,55139,US,44.0124,-88.601,622210,General Medical And Surgical Hospitals,http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-02-10T00:00:00.000Z,http://www.affinityhealth.org,186,Not Available,55,Non-profit,0,157,Not Available,Not Available,2013-10-24T00:00:00.000Z
-90.178741800999944,44.677262097000039,6005,0015354449,MINISTRY SAINT JOSEPHS HOSPITAL,611 ST JOSEPH AVE,Not Available,Marshfield,WI,54449,Not Available,(715) 387-7850,General Acute Care Hospital,Open,319,Wood,55141,US,44.6773,-90.1787,622210,General Medical And Surgical Hospitals,http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-03-12T00:00:00.000Z,http://www.stjosephs-marshfield.org,51,Not Available,55,Non-profit,0,319,II,Y,2013-10-24T00:00:00.000Z
-89.829889437999952,44.381758030000078,6006,0015454495,RIVERVIEW HSPTL ASSOC,410 Dewey Street,Not Available,Wisconsin Rapids,WI,54495,Not Available,(715) 423-6060,General Acute Care Hospital,Open,69,Wood,55141,US,44.3818,-89.8299,622210,General Medical And Surgical Hospitals,http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-02-10T00:00:00.000Z,http://www.riverviewhospital.org,11,Not Available,55,Non-profit,0,69,Not Available,Not Available,2013-10-24T00:00:00.000Z
-90.16580030199998,44.682344483000058,6007,0015554449,NORWOOD HLTH CTR,1600 N CHESTNUT AVE,Not Available,Marshfield,WI,54449,Not Available,(715) 384-2188,Psychiatric Hospital,Open,40,Wood,55141,US,44.6823,-90.1658,622210,"Hospitals, psychiatric (except convalescent)",http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery,2014-02-10T00:00:00.000Z,http://www.co.wood.wi.us/norwood/index.htm,211,Not Available,55,Government - Local,0,40,Not Available,Not Available,2013-10-24T00:00:00.000Z
-73.91255653199994,40.655269102000034,6008,0016111212,Brookdale Hospital Medical Center,1 Brookdale Plaza,Not Available,Brooklyn,NY,11212,Not Available,(718) 240-5000,General Acute Care Hospital,Open,530,Kings,36047,US,40.6553,-73.9126,622210,General Medical And Surgical Hospitals,https://health.data.ny.gov/Health/Managed-Care-Institutional-Provider-Network-Data-D/ivv7-qybs,2013-06-10T00:00:00.000Z,Geocode,2014-02-10T00:00:00.000Z,http://www.brookdalehospital.org,1286,Not Available,36,Non-profit,0,530,I,Not Available,2013-10-23T00:00:00.000Z
-88.51823742,44.074749151000042,6009,0015654985,WINNEBAGO MENTAL HLTH INSTITUTE,1300 SOUTH DRIVE PO BOX 9,Not Available,Winnebago,WI,54985,Not Available,(920) 235-4910,Psychiatric Hospital,Open,169,Winnebago,55139,US,44.0747,-88.5182,622210,"Hospitals, psychiatric (except convalescent)",http://www.dhs.wisconsin.gov/bqaconsumer/healthcare/HospitalCty.pdf,2013-07-10T00:00:00.000Z,Imagery with Other,2014-02-10T00:00:00.000Z,http://www.dhfs.state.wi.us/mh_winnebago,250,Not Available,55,Government - State,0,169,Not Available,Not Available,2013-10-24T00:00:00.000Z
-157.757800477999979,21.380979364000041,6010,0000196734,Castle Medical Center,640 Ulukahiki St,Not Available,Kailua,HI,96734,Not Available,(808) 263-5500,General Acute Care Hospital,Open,160,Honolulu,15003,US,21.381,-157.758,622210,General Medical And Surgical Hospitals,https://data.hawaii.gov/,2013-03-01T00:00:00.000Z,Imagery,2014-02-10T00:00:00.000Z,http://www.castlemed.org,Not Available,Not Available,15,Non-profit,0,160,Not Available,Not Available,2013-08-26T00:00:00.000Z
-73.977883764999945,40.690572508000059,6011,0016211201,Brooklyn Hospital Center,121 Dekalb Ave,Not Available,Brooklyn,NY,11201,Not Available,(718) 250-8000,General Acute Care Hospital,Open,464,Kings,36047,US,40.6906,-73.9779,622210,General Medical And Surgical Hospitals,https://health.data.ny.gov/Health/Managed-Care-Institutional-Provider-Network-Data-D/ivv7-qybs,2013-06-10T00:00:00.000Z,Geocode,2014-02-10T00:00:00.000Z,http://www.tbh.org,1288,Not Available,36,Non-profit,0,464,Not Available,Not Available,2013-10-23T00:00:00.000Z
-73.84851753099997,40.840743111000052,6012,0016310461,Westchester Square Medical Center,2475 Raymond Avenue,Not Available,Bronx,NY,10461,Not Available,(718) 430-7300,General Acute Care Hospital,Open,0,Bronx,36005,US,40.8407,-73.8485,622210,General Medical And Surgical Hospitals,https://health.data.ny.gov/Health/Managed-Care-Institutional-Provider-Network-Data-D/ivv7-qybs,2013-06-10T00:00:00.000Z,Imagery with Other,2014-02-10T00:00:00.000Z,http://www.montefiore.org/westchestersquare,1185,Not Available,36,Non-profit,0,0,Not Available,Not Available,2013-10-23T00:00:00.000Z
-155.469829647999973,20.076173035000064,6013,0000296727,Hale Ho'Ola Hamakua,45-547  Plumeria St,Not Available,Honokaa,HI,96727,Not Available,(808) 775-7211,General Acute Care Hospital,Open,52,Hawaii,15001,US,20.0762,-155.47,622210,General Medical And Surgical Hospitals,https://data.hawaii.gov/,2013-03-01T00:00:00.000Z,Imagery,2014-02-04T00:00:00.000Z,http://www.hhsc.org,Not Available,Not Available,15,Government - State,0,52,Not Available,Not Available,2013-08-26T00:00:00.000Z
