hospital_name,address,city,state,zip,type,status,population,county,country,latitude,longitude,website,beds,trauma,helipad,childrens hospital
HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,1700 JAMES BOWIE DRIVE,BAYTOWN,TX,77520,GENERAL ACUTE CARE,OPEN,182,HARRIS,USA,29.74762022,-94.94547682,http://www.houstonmethodist.org/locations/san-jacinto-baytown/,182.0,NOT AVAILABLE,Y,nan
"WOODS AT PARKSIDE,THE",349 OLDE RIDENOUR ROAD,COLUMBUS,OH,43230,SPECIAL,OPEN,50,FRANKLIN,USA,40.0271427,-82.88184334,http://www.thewoodsatparkside.com/,50.0,NOT AVAILABLE,NOT AVAILABLE,nan
DAYTON CHILDREN'S HOSPITAL,ONE CHILDRENS PLAZA,DAYTON,OH,45404,CHILDREN,OPEN,155,MONTGOMERY,USA,39.77424249,-84.16802733,http://www.childrensdayton.org/cms/home/index.html,155.0,PEDIATRIC LEVEL II,Y,nan
VIBRA HOSPITAL OF MAHONING VALLEY,8049 SOUTH AVENUE,BOARDMAN,OH,44512,LONG TERM CARE,OPEN,45,MAHONING,USA,41.0051693,-80.63297231,http://www.mahoningvalleyhospital.com/,45.0,NOT AVAILABLE,NOT AVAILABLE,nan
HAVEN BEHAVIORAL SENIOR CARE OF DAYTON,"ONE ELIZABETH PLACE,E3 SUITE A",DAYTON,OH,45417,PSYCHIATRIC,OPEN,32,MONTGOMERY,USA,39.74773987,-84.19939762,https://dayton.havenbehavioral.com/,32.0,NOT AVAILABLE,NOT AVAILABLE,nan
CHG CORNERSTONE HOSPITAL OF OKLAHOMA,"1900 GORDON COOPER DRIVE,2ND FLOOR",SHAWNEE,OK,74801,LONG TERM CARE,OPEN,34,POTTAWATOMIE,USA,35.29726161,-96.92709569,http://www.chghospitals.com/shawnee/,34.0,NOT AVAILABLE,NOT AVAILABLE,nan
MARY HURLEY HOSPITAL,6 NORTH COVINGTON AVENUE,COALGATE,OK,74538,GENERAL ACUTE CARE,OPEN,20,COAL,USA,34.53934684,-96.2237315,http://www.ccghospital.com/Hospital/,20.0,LEVEL IV,Y,nan
TRINITY HOSPITALS,1 W BURDICK EXPY,MINOT,ND,58701,GENERAL ACUTE CARE,OPEN,251,WARD,USA,48.23222596,-101.2940853,http://www.trinityhealth.org,251.0,LEVEL II,Y,nan
LIFEBRITE COMMUNITY HOSPITAL OF STOKES,1570 NC 8 & 89 HWY NORTH,DANBURY,NC,27016,GENERAL ACUTE CARE,OPEN,93,STOKES,USA,36.418068,-80.23107621,http://lifebritestokes.com/,93.0,NOT AVAILABLE,NOT AVAILABLE,nan
PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,16750 RED OAK DR,HOUSTON,TX,77090,GENERAL ACUTE CARE,OPEN,16,HARRIS,USA,30.0142879,-95.44068702,http://phnh.net/,16.0,NOT AVAILABLE,NOT AVAILABLE,nan
MCCALLEN MEDICAL CENTER,301 WEST EXPRESSWAY 83,MCALLEN,TX,78503,GENERAL ACUTE CARE,OPEN,441,HIDALGO,USA,26.18699237,-98.22573011,http://www.mcallenmedicalcenter.com/,441.0,LEVEL III,Y,nan
PRAIRIE SAINT JOHN'S,510 4TH STREET SOUTH,FARGO,ND,58103,PSYCHIATRIC,OPEN,110,CASS,USA,46.86919521,-96.78500526,http://prairie-stjohns.com/,110.0,NOT AVAILABLE,NOT AVAILABLE,nan
