"fid","hospital_name","address","address2","city","state","zip","telephone","type","status","population","county","country","latitude","longitude","website","state_id","beds","trauma","helipad","caring_system","funding","affilition","regular_beds","nicu_beds","opened","pediatric_trauma_level","nicu_level","ranked_specialties","childrens_hospital"
6001,"CHILDRENS HSPTL OF WISCONSIN FOX VALLEY","130 SECOND ST","Not Available","Neenah","WI",54956,"(920) 969-7902","General Acute Care Hospital","Open",42,"Winnebago","US",44.1871,-88.4544,"http://www.chw.org","1005",42,"Not Available","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6002,"THEDA CLARK MED CTR","130 2ND ST","Not Available","Neenah","WI",54956,"(920) 729-3100","General Acute Care Hospital","Open",147,"Winnebago","US",44.1875,-88.4534,"http://www.thedacare.org","32",147,"II","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6003,"AURORA MED CTR OSHKOSH","855 N WESTHAVEN DRIVE","Not Available","Oshkosh","WI",54904,"(920) 456-6000","General Acute Care Hospital","Open",61,"Winnebago","US",44.0277,-88.5952,"http://www.aurorahealthcare.com","307",61,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6004,"MERCY MED CTR OF OSHKOSH","500 S OAKWOOD RD","Not Available","Oshkosh","WI",54904,"(920) 223-2000","General Acute Care Hospital","Open",157,"Winnebago","US",44.0124,-88.601,"http://www.affinityhealth.org","186",157,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6005,"MINISTRY SAINT JOSEPHS HOSPITAL","611 ST JOSEPH AVE","Not Available","Marshfield","WI",54449,"(715) 387-7850","General Acute Care Hospital","Open",319,"Wood","US",44.6773,-90.1787,"http://www.stjosephs-marshfield.org","51",319,"II","Y",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6006,"RIVERVIEW HSPTL ASSOC","410 Dewey Street","Not Available","Wisconsin Rapids","WI",54495,"(715) 423-6060","General Acute Care Hospital","Open",69,"Wood","US",44.3818,-89.8299,"http://www.riverviewhospital.org","11",69,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6007,"NORWOOD HLTH CTR","1600 N CHESTNUT AVE","Not Available","Marshfield","WI",54449,"(715) 384-2188","Psychiatric Hospital","Open",40,"Wood","US",44.6823,-90.1658,"http://www.co.wood.wi.us/norwood/index.htm","211",40,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6008,"Brookdale Hospital Medical Center","1 Brookdale Plaza","Not Available","Brooklyn","NY",11212,"(718) 240-5000","General Acute Care Hospital","Open",530,"Kings","US",40.6553,-73.9126,"http://www.brookdalehospital.org","1286",530,"I","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6009,"WINNEBAGO MENTAL HLTH INSTITUTE","1300 SOUTH DRIVE PO BOX 9","Not Available","Winnebago","WI",54985,"(920) 235-4910","Psychiatric Hospital","Open",169,"Winnebago","US",44.0747,-88.5182,"http://www.dhfs.state.wi.us/mh_winnebago","250",169,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6010,"Castle Medical Center","640 Ulukahiki St","Not Available","Kailua","HI",96734,"(808) 263-5500","General Acute Care Hospital","Open",160,"Honolulu","US",21.381,-157.758,"http://www.castlemed.org","Not Available",160,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6011,"Brooklyn Hospital Center","121 Dekalb Ave","Not Available","Brooklyn","NY",11201,"(718) 250-8000","General Acute Care Hospital","Open",464,"Kings","US",40.6906,-73.9779,"http://www.tbh.org","1288",464,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6012,"Westchester Square Medical Center","2475 Raymond Avenue","Not Available","Bronx","NY",10461,"(718) 430-7300","General Acute Care Hospital","Open",0,"Bronx","US",40.8407,-73.8485,"http://www.montefiore.org/westchestersquare","1185",0,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6013,"Hale Ho'Ola Hamakua","45-547  Plumeria St","Not Available","Honokaa","HI",96727,"(808) 775-7211","General Acute Care Hospital","Open",52,"Hawaii","US",20.0762,-155.47,"http://www.hhsc.org","Not Available",52,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6014,"Hawaii Medical Center East","2230 Liliha St","Not Available","Honolulu","HI",96817,"(808) 547-6011","General Acute Care Hospital","Open",240,"Honolulu","US",21.3296,-157.853,"http://www.hawaiimedcen.com/hmc/eastCampus.html","Not Available",240,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6015,"Kings County Hospital Center","451 Clarkson Ave","Not Available","Brooklyn","NY",11203,"(718) 245-2306","General Acute Care Hospital","Open",627,"Kings","US",40.6565,-73.9417,"http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml","1301",627,"I","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6016,"Hawaii Medical Center West","91-2141  Fort Weaver Rd","Not Available","Ewa Beach","HI",96706,"(808) 547-6011","General Acute Care Hospital","Open",102,"Honolulu","US",21.3723,-158.027,"http://www.hawaiimedcen.com/hmc/westCampus.html","Not Available",102,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6017,"New York Community Hospital","2525 Kings Highway","Not Available","Brooklyn","NY",11229,"(718) 692-5300","General Acute Care Hospital","Open",134,"Kings","US",40.6138,-73.9487,"http://www.nych.com","1293",134,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6018,"Hawaii State Hospital","45-710 Keaahala Rd","Not Available","Kaneohe","HI",96744,"(808) 247-2191","Psychiatric Hospital","Open",178,"Honolulu","US",21.4051,-157.816,"http://www.hshweb.health.state.hi.us","Not Available",178,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6019,"Coney Island Hospital","2601 Ocean Parkway","Not Available","Brooklyn","NY",11235,"(718) 615-4000","General Acute Care Hospital","Open",371,"Kings","US",40.5854,-73.9653,"http://www.nyc.gov/html/hhc/html/facilities/coneyisland.shtml","1294",371,"Not Available","Not Available",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
